state,total,Population_1940
Alabama,12,"3,061,743"
Alaska,3,"128,643"
Arizona,9,"749,587"
Arkansas,10,"1,909,511"
California,54,"10,586,223"
Colorado,14,"1,325,089"
Connecticut,8,"2,007,280"
Delaware,2,"318,085"
District of Columbia,4,"802,178"
Florida,14,"2,771,305"
Georgia,14,"3,444,578"
Hawaii,3,"499,794"
Idaho,7,"588,637"
Illinois,32,"8,712,176"
Indiana,19,"3,934,224"
Iowa,18,"2,621,073"
Kansas,16,"1,905,299"
Kentucky,8,"2,944,806"
Louisiana,13,"2,683,516"
Maine,6,"913,774"
Maryland,8,"2,343,001"
Massachusetts,19,"4,690,514"
Michigan,22,"6,371,766"
Minnesota,18,"2,982,483"
Mississippi,9,"2,178,914"
Missouri,20,"3,954,653"
Montana,6,"591,024"
Nebraska,10,"1,325,510"
Nevada,3,"160,083"
New Hampshire,3,"533,242"
New Jersey,11,"4,835,329"
New Mexico,6,"681,187"
New York,60,"14,830,192"
North Carolina,13,"4,061,929"
North Dakota,6,"619,636"
Ohio,26,"7,946,627"
Oklahoma,15,"2,233,351"
Oregon,16,"1,521,341"
Pennsylvania,39,"10,498,012"
Puerto Rico,4,"2,210,703"
Rhode Island,6,"791,896"
South Carolina,8,"2,117,027"
South Dakota,11,"652,740"
Tennessee,13,"3,291,718"
Texas,52,"7,711,194"
Utah,7,"688,862"
Vermont,5,"377,747"
Virgin Islands,7,
Virginia,12,"3,318,680"
Washington,24,"2,378,963"
West Virginia,7,"2,005,552"
Wisconsin,19,"3,434,575"
Wyoming,3,"290,529"
Total,738,
