State,AM,FM_Commercial,FM_Educational,TV,Total,Population_1950,total_radio
Alabama,71,14,1,2,88,3061743,86
Arizona,25,0,2,1,28,749587,27
Arkansas,34,7,0,0,41,1909511,41
California,143,58,7,11,219,10586223,208
Colorado,35,3,0,0,38,1325089,38
Connecticut,27,11,0,1,39,2007280,38
Delaware,5,3,0,1,9,318085,8
District of Columbia,7,8,0,4,19,802178,15
Florida,75,21,1,3,100,2771305,97
Georgia,76,22,1,3,102,3444578,99
Idaho,22,3,0,0,25,588637,25
Illinois,74,46,5,5,130,8712176,125
Indiana,45,20,6,2,73,3934224,71
Iowa,52,20,2,2,76,2621073,74
Kansas,39,6,1,0,46,1905299,46
Kentucky,43,12,3,2,60,2944806,58
Louisiana,42,16,2,1,61,2683516,60
Maine,16,2,0,0,18,913774,18
Maryland,22,18,0,3,43,2343001,40
Massachusetts,51,28,2,2,83,4690514,81
Michigan,63,25,4,6,98,6371766,92
Minnesota,49,10,2,2,63,2982483,61
Mississippi,43,5,1,0,49,2178914,49
Missouri,51,15,2,2,70,3954653,68
Montana,25,0,0,0,25,591024,25
Nebraska,22,3,0,2,27,1325510,25
Nevada,10,1,0,0,11,160083,11
New Hampshire,12,4,0,0,16,533242,16
New Jersey,20,13,2,1,36,4835329,35
New Mexico,25,0,1,1,27,681187,26
New York,95,56,6,13,170,14830192,157
North Carolina,93,42,2,2,139,4061929,137
North Dakota,14,0,0,0,14,619636,14
Ohio,69,45,6,12,132,7946627,120
Oklahoma,46,10,3,2,61,2233351,59
Oregon,43,8,2,0,53,1521341,53
Pennsylvania,111,63,4,7,185,10498012,178
Rhode Island,11,5,0,2,18,791896,16
South Carolina,42,11,0,0,53,2117027,53
South Dakota,14,1,0,0,15,652740,15
Tennessee,57,13,1,2,73,3291718,71
Texas,183,29,4,6,222,7711194,216
Utah,18,3,1,2,24,688862,22
Vermont,9,0,0,0,9,377747,9
Virginia,57,20,0,2,79,3318680,77
Washington,53,7,1,1,62,2378963,61
West Virginia,38,15,0,1,54,2005552,53
Wisconsin,55,18,6,1,80,3434575,79
Wyoming,13,0,0,0,13,290529,13
Alaska,10,0,0,0,10,128643,10
Hawaii,12,0,0,0,12,499794,12
Puerto Rico,25,0,0,0,25,2210703,25
